file,class,method,variable,usage
D:\OOD\linkis-master\linkis-public-enhancements\linkis-error-code\linkis-error-code-server\src\test\java\org\apache\linkis\errorcode\server\dao\ErrorCodeMapperTest.java,org.apache.linkis.errorcode.server.dao.ErrorCodeMapperTest,getAllErrorCodesTest/0,errorCodeMapper,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getStdVarAccess/0,stdVarAccess,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,"setSourceMap/1[java.util.Map<java.lang.String,java.lang.Object>]",sourceMap,3
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,"setJobContentMap/1[java.util.Map<java.lang.String,java.lang.Object>]",jobContentMap,3
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getLabelMap/0,labelMap,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getCreator/0,creator,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,setProxyUser/1[java.lang.String],proxyUser,3
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,"setParamVarsMap/1[java.util.Map<java.lang.String,java.lang.Object>]",paramVarsMap,3
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getSubmitUser/0,submitUser,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,"setParamRunTimeMap/1[java.util.Map<java.lang.String,java.lang.Object>]",paramRunTimeMap,3
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getSourceMap/0,sourceMap,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getExecutionMap/0,executionMap,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,setSubmitUser/1[java.lang.String],submitUser,3
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,setCreator/1[java.lang.String],creator,3
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getParamRunTimeMap/0,paramRunTimeMap,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getSysVarAccess/0,sysVarAccess,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getProxyUser/0,proxyUser,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getParamConfMap/0,paramConfMap,1
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,"setExecutionMap/1[java.util.Map<java.lang.String,java.lang.Object>]",executionMap,3
D:\OOD\linkis-master\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,setStdVarAccess/1[org.apache.linkis.cli.application.interactor.job.desc.VarAccess],stdVarAccess,3
